"rules","support","confidence","coverage","lift","count"
"23","{singleEpithCellSize=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.369294605809129,0.962162162162162,0.383817427385892,1.92432432432432,178
"100","{uniformityCellSize=Anormal,singleEpithCellSize=Anormal,mitoses=Normal} => {class=Maligno}",0.205394190871369,0.961165048543689,0.213692946058091,1.92233009708738,99
"105","{uniformityCellShape=Anormal,bareNuclei=Anormal,mitoses=Normal} => {class=Maligno}",0.205394190871369,0.961165048543689,0.213692946058091,1.92233009708738,99
"35","{uniformityCellSize=Anormal,mitoses=Normal} => {class=Maligno}",0.230290456431535,0.956896551724138,0.240663900414938,1.91379310344828,111
"99","{uniformityCellSize=Anormal,uniformityCellShape=Anormal,mitoses=Normal} => {class=Maligno}",0.221991701244813,0.955357142857143,0.232365145228216,1.91071428571429,107
"4","{blandChromatin=Anormal} => {class=Maligno}",0.406639004149378,0.951456310679612,0.427385892116183,1.90291262135922,196
"3","{normalNucleoli=Anormal} => {class=Maligno}",0.402489626556017,0.950980392156863,0.423236514522822,1.90196078431373,194
"38","{marginalAdhesion=Anormal,singleEpithCellSize=Anormal} => {class=Maligno}",0.360995850622407,0.950819672131147,0.379668049792531,1.90163934426229,174
"106","{uniformityCellShape=Anormal,singleEpithCellSize=Anormal,mitoses=Normal} => {class=Maligno}",0.217842323651452,0.945945945945946,0.230290456431535,1.89189189189189,105
"2","{clumpThickness=Anormal} => {class=Maligno}",0.342323651452282,0.942857142857143,0.363070539419087,1.88571428571429,165
"8","{uniformityCellShape=Anormal} => {class=Maligno}",0.433609958506224,0.941441441441441,0.460580912863071,1.88288288288288,209
"7","{bareNuclei=Anormal} => {class=Maligno}",0.421161825726141,0.935483870967742,0.450207468879668,1.87096774193548,203
"1","{mitoses=Anormal} => {class=Maligno}",0.221991701244813,0.930434782608696,0.238589211618257,1.86086956521739,107
"30","{blandChromatin=Anormal,mitoses=Normal} => {class=Maligno}",0.226141078838174,0.923728813559322,0.244813278008299,1.84745762711864,109
"24","{normalNucleoli=Anormal,mitoses=Normal} => {class=Maligno}",0.205394190871369,0.916666666666667,0.224066390041494,1.83333333333333,99
"44","{uniformityCellShape=Anormal,mitoses=Normal} => {class=Maligno}",0.244813278008299,0.907692307692308,0.269709543568465,1.81538461538462,118
"42","{bareNuclei=Anormal,mitoses=Normal} => {class=Maligno}",0.234439834024896,0.904,0.259336099585062,1.808,113
"6","{marginalAdhesion=Anormal} => {class=Maligno}",0.390041493775934,0.886792452830189,0.439834024896266,1.77358490566038,188
"9","{singleEpithCellSize=Anormal} => {class=Maligno}",0.450207468879668,0.878542510121457,0.512448132780083,1.75708502024291,217
"39","{marginalAdhesion=Anormal,mitoses=Normal} => {class=Maligno}",0.215767634854772,0.818897637795276,0.263485477178423,1.63779527559055,104
"45","{singleEpithCellSize=Anormal,mitoses=Normal} => {class=Maligno}",0.238589211618257,0.804195804195804,0.296680497925311,1.60839160839161,115
