"rules","support","confidence","coverage","lift","count"
"301","{uniformityCellShape=Normal,singleEpithCellSize=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.402489626556017,0.984771573604061,0.408713692946058,1.96954314720812,194
"454","{clumpThickness=Normal,uniformityCellSize=Normal,uniformityCellShape=Normal,singleEpithCellSize=Normal,blandChromatin=Normal} => {class=Benigno}",0.402489626556017,0.984771573604061,0.408713692946058,1.96954314720812,194
"455","{uniformityCellSize=Normal,uniformityCellShape=Normal,singleEpithCellSize=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.402489626556017,0.984771573604061,0.408713692946058,1.96954314720812,194
"285","{uniformityCellSize=Anormal,marginalAdhesion=Normal,singleEpithCellSize=Anormal,bareNuclei=Anormal} => {class=Maligno}",0.267634854771784,0.984732824427481,0.271784232365145,1.96946564885496,129
"432","{uniformityCellSize=Anormal,uniformityCellShape=Anormal,singleEpithCellSize=Anormal,bareNuclei=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.267634854771784,0.984732824427481,0.271784232365145,1.96946564885496,129
"420","{uniformityCellSize=Anormal,uniformityCellShape=Anormal,singleEpithCellSize=Anormal,blandChromatin=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.263485477178423,0.984496124031008,0.267634854771784,1.96899224806202,127
"258","{singleEpithCellSize=Anormal,bareNuclei=Anormal,blandChromatin=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.261410788381743,0.984375,0.265560165975104,1.96875,126
"466","{clumpThickness=Normal,uniformityCellShape=Normal,singleEpithCellSize=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.392116182572614,0.984375,0.398340248962656,1.96875,189
"88","{clumpThickness=Anormal,singleEpithCellSize=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.255186721991701,0.984,0.259336099585062,1.968,123
"282","{uniformityCellShape=Anormal,marginalAdhesion=Normal,singleEpithCellSize=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.253112033195021,0.983870967741935,0.257261410788382,1.96774193548387,122
"93","{clumpThickness=Anormal,singleEpithCellSize=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.25103734439834,0.983739837398374,0.255186721991701,1.96747967479675,121
"257","{uniformityCellShape=Anormal,bareNuclei=Anormal,blandChromatin=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.25103734439834,0.983739837398374,0.255186721991701,1.96747967479675,121
"90","{clumpThickness=Anormal,uniformityCellSize=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.24896265560166,0.983606557377049,0.253112033195021,1.9672131147541,120
"87","{clumpThickness=Anormal,uniformityCellShape=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.246887966804979,0.983471074380165,0.25103734439834,1.96694214876033,119
"265","{uniformityCellSize=Anormal,marginalAdhesion=Normal,bareNuclei=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.246887966804979,0.983471074380165,0.25103734439834,1.96694214876033,119
"85","{clumpThickness=Anormal,uniformityCellSize=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.244813278008299,0.983333333333333,0.24896265560166,1.96666666666667,118
"437","{uniformityCellSize=Anormal,uniformityCellShape=Anormal,marginalAdhesion=Normal,singleEpithCellSize=Anormal,bareNuclei=Anormal} => {class=Maligno}",0.244813278008299,0.983333333333333,0.24896265560166,1.96666666666667,118
"30","{uniformityCellSize=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.358921161825726,0.982954545454545,0.365145228215768,1.96590909090909,173
"86","{clumpThickness=Anormal,bareNuclei=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.238589211618257,0.982905982905983,0.242738589211618,1.96581196581197,115
"92","{clumpThickness=Anormal,uniformityCellShape=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.238589211618257,0.982905982905983,0.242738589211618,1.96581196581197,115
"104","{clumpThickness=Anormal,marginalAdhesion=Normal,singleEpithCellSize=Anormal} => {class=Maligno}",0.238589211618257,0.982905982905983,0.242738589211618,1.96581196581197,115
"423","{uniformityCellShape=Anormal,singleEpithCellSize=Anormal,bareNuclei=Anormal,blandChromatin=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.238589211618257,0.982905982905983,0.242738589211618,1.96581196581197,115
"91","{clumpThickness=Anormal,bareNuclei=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.236514522821577,0.982758620689655,0.240663900414938,1.96551724137931,114
"261","{uniformityCellShape=Anormal,marginalAdhesion=Normal,blandChromatin=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.232365145228216,0.982456140350877,0.236514522821577,1.96491228070175,112
"209","{uniformityCellSize=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.462655601659751,0.982378854625551,0.470954356846473,1.9647577092511,223
"236","{clumpThickness=Anormal,uniformityCellShape=Anormal,singleEpithCellSize=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.230290456431535,0.982300884955752,0.234439834024896,1.9646017699115,111
"240","{clumpThickness=Anormal,uniformityCellSize=Anormal,singleEpithCellSize=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.230290456431535,0.982300884955752,0.234439834024896,1.9646017699115,111
"428","{uniformityCellSize=Anormal,uniformityCellShape=Anormal,marginalAdhesion=Normal,bareNuclei=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.230290456431535,0.982300884955752,0.234439834024896,1.9646017699115,111
"429","{uniformityCellSize=Anormal,marginalAdhesion=Normal,singleEpithCellSize=Anormal,bareNuclei=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.230290456431535,0.982300884955752,0.234439834024896,1.9646017699115,111
"233","{clumpThickness=Anormal,uniformityCellSize=Anormal,singleEpithCellSize=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.228215767634855,0.982142857142857,0.232365145228216,1.96428571428571,110
"239","{clumpThickness=Anormal,uniformityCellSize=Anormal,uniformityCellShape=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.228215767634855,0.982142857142857,0.232365145228216,1.96428571428571,110
"362","{uniformityCellSize=Normal,uniformityCellShape=Normal,marginalAdhesion=Normal,blandChromatin=Normal} => {class=Benigno}",0.45643153526971,0.982142857142857,0.464730290456432,1.96428571428571,220
"197","{uniformityCellSize=Normal,bareNuclei=Normal,mitoses=Normal} => {class=Benigno}",0.454356846473029,0.982062780269058,0.462655601659751,1.96412556053812,219
"219","{clumpThickness=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.454356846473029,0.982062780269058,0.462655601659751,1.96412556053812,219
"199","{bareNuclei=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.452282157676349,0.981981981981982,0.460580912863071,1.96396396396396,218
"232","{clumpThickness=Anormal,uniformityCellSize=Anormal,uniformityCellShape=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.226141078838174,0.981981981981982,0.230290456431535,1.96396396396396,109
"410","{clumpThickness=Normal,marginalAdhesion=Normal,blandChromatin=Normal,normalNucleoli=Normal} => {class=Benigno}",0.452282157676349,0.981981981981982,0.460580912863071,1.96396396396396,218
"122","{uniformityCellSize=Anormal,singleEpithCellSize=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.336099585062241,0.981818181818182,0.342323651452282,1.96363636363636,162
"200","{clumpThickness=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.448132780082988,0.981818181818182,0.45643153526971,1.96363636363636,216
"361","{uniformityCellSize=Normal,uniformityCellShape=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.446058091286307,0.981735159817352,0.454356846473029,1.9634703196347,215
"363","{clumpThickness=Normal,uniformityCellSize=Normal,uniformityCellShape=Normal,normalNucleoli=Normal} => {class=Benigno}",0.446058091286307,0.981735159817352,0.454356846473029,1.9634703196347,215
"393","{clumpThickness=Normal,marginalAdhesion=Normal,bareNuclei=Normal,blandChromatin=Normal} => {class=Benigno}",0.446058091286307,0.981735159817352,0.454356846473029,1.9634703196347,215
"397","{marginalAdhesion=Normal,bareNuclei=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.443983402489627,0.981651376146789,0.452282157676349,1.96330275229358,214
"426","{uniformityCellShape=Anormal,marginalAdhesion=Normal,singleEpithCellSize=Anormal,blandChromatin=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.221991701244813,0.981651376146789,0.226141078838174,1.96330275229358,107
"535","{clumpThickness=Normal,uniformityCellSize=Normal,uniformityCellShape=Normal,marginalAdhesion=Normal,normalNucleoli=Normal} => {class=Benigno}",0.443983402489627,0.981651376146789,0.452282157676349,1.96330275229358,214
"121","{uniformityCellSize=Anormal,uniformityCellShape=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.33195020746888,0.98159509202454,0.338174273858921,1.96319018404908,160
"537","{clumpThickness=Normal,uniformityCellSize=Normal,uniformityCellShape=Normal,marginalAdhesion=Normal,mitoses=Normal} => {class=Benigno}",0.441908713692946,0.981566820276498,0.450207468879668,1.963133640553,213
"243","{clumpThickness=Anormal,uniformityCellShape=Anormal,singleEpithCellSize=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.219917012448133,0.981481481481482,0.224066390041494,1.96296296296296,106
"409","{clumpThickness=Normal,blandChromatin=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.439834024896266,0.981481481481482,0.448132780082988,1.96296296296296,212
"563","{clumpThickness=Normal,marginalAdhesion=Normal,blandChromatin=Normal,normalNucleoli=Normal,mitoses=Normal} => {class=Benigno}",0.437759336099585,0.981395348837209,0.446058091286307,1.96279069767442,211
"372","{clumpThickness=Normal,uniformityCellShape=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.433609958506224,0.981220657276995,0.441908713692946,1.96244131455399,209
"531","{clumpThickness=Normal,uniformityCellSize=Normal,uniformityCellShape=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.433609958506224,0.981220657276995,0.441908713692946,1.96244131455399,209
"235","{clumpThickness=Anormal,singleEpithCellSize=Anormal,bareNuclei=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.215767634854772,0.981132075471698,0.219917012448133,1.9622641509434,104
"125","{singleEpithCellSize=Anormal,bareNuclei=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.321576763485477,0.981012658227848,0.327800829875519,1.9620253164557,155
"234","{clumpThickness=Anormal,uniformityCellShape=Anormal,bareNuclei=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.213692946058091,0.980952380952381,0.217842323651452,1.96190476190476,103
"238","{clumpThickness=Anormal,uniformityCellSize=Anormal,bareNuclei=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.213692946058091,0.980952380952381,0.217842323651452,1.96190476190476,103
"242","{clumpThickness=Anormal,singleEpithCellSize=Anormal,bareNuclei=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.213692946058091,0.980952380952381,0.217842323651452,1.96190476190476,103
"171","{clumpThickness=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal} => {class=Benigno}",0.425311203319502,0.980861244019139,0.433609958506224,1.96172248803828,205
"15","{singleEpithCellSize=Anormal,mitoses=Anormal} => {class=Maligno}",0.211618257261411,0.980769230769231,0.215767634854772,1.96153846153846,102
"138","{uniformityCellSize=Anormal,marginalAdhesion=Normal,singleEpithCellSize=Anormal} => {class=Maligno}",0.317427385892116,0.980769230769231,0.323651452282158,1.96153846153846,153
"333","{uniformityCellSize=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,mitoses=Normal} => {class=Benigno}",0.423236514522822,0.980769230769231,0.431535269709544,1.96153846153846,204
"231","{clumpThickness=Anormal,uniformityCellSize=Anormal,bareNuclei=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.20954356846473,0.980582524271845,0.213692946058091,1.96116504854369,101
"414","{clumpThickness=Anormal,uniformityCellSize=Anormal,uniformityCellShape=Anormal,singleEpithCellSize=Anormal,normalNucleoli=Anormal} => {class=Maligno}",0.20954356846473,0.980582524271845,0.213692946058091,1.96116504854369,101
"415","{clumpThickness=Anormal,uniformityCellSize=Anormal,uniformityCellShape=Anormal,singleEpithCellSize=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.20954356846473,0.980582524271845,0.213692946058091,1.96116504854369,101
"164","{clumpThickness=Normal,singleEpithCellSize=Normal,blandChromatin=Normal} => {class=Benigno}",0.41701244813278,0.980487804878049,0.425311203319502,1.9609756097561,201
"147","{uniformityCellShape=Normal,singleEpithCellSize=Normal,blandChromatin=Normal} => {class=Benigno}",0.4149377593361,0.980392156862745,0.423236514522822,1.96078431372549,200
"241","{clumpThickness=Anormal,uniformityCellShape=Anormal,bareNuclei=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.20746887966805,0.980392156862745,0.211618257261411,1.96078431372549,100
"149","{clumpThickness=Normal,uniformityCellShape=Normal,singleEpithCellSize=Normal} => {class=Benigno}",0.412863070539419,0.980295566502463,0.421161825726141,1.96059113300493,199
"294","{uniformityCellSize=Normal,uniformityCellShape=Normal,singleEpithCellSize=Normal,blandChromatin=Normal} => {class=Benigno}",0.412863070539419,0.980295566502463,0.421161825726141,1.96059113300493,199
"308","{uniformityCellShape=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,mitoses=Normal} => {class=Benigno}",0.412863070539419,0.980295566502463,0.421161825726141,1.96059113300493,199
"325","{clumpThickness=Normal,uniformityCellSize=Normal,singleEpithCellSize=Normal,blandChromatin=Normal} => {class=Benigno}",0.412863070539419,0.980295566502463,0.421161825726141,1.96059113300493,199
"326","{uniformityCellSize=Normal,singleEpithCellSize=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.412863070539419,0.980295566502463,0.421161825726141,1.96059113300493,199
"343","{clumpThickness=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,mitoses=Normal} => {class=Benigno}",0.412863070539419,0.980295566502463,0.421161825726141,1.96059113300493,199
"462","{uniformityCellSize=Normal,uniformityCellShape=Normal,marginalAdhesion=Normal,singleEpithCellSize=Normal,mitoses=Normal} => {class=Benigno}",0.412863070539419,0.980295566502463,0.421161825726141,1.96059113300493,199
"276","{uniformityCellSize=Anormal,uniformityCellShape=Anormal,singleEpithCellSize=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.309128630705394,0.980263157894737,0.315352697095436,1.96052631578947,149
"296","{clumpThickness=Normal,uniformityCellSize=Normal,uniformityCellShape=Normal,singleEpithCellSize=Normal} => {class=Benigno}",0.410788381742739,0.98019801980198,0.419087136929461,1.96039603960396,198
"124","{uniformityCellShape=Anormal,bareNuclei=Anormal,blandChromatin=Anormal} => {class=Maligno}",0.307053941908714,0.980132450331126,0.313278008298755,1.96026490066225,148
"337","{clumpThickness=Normal,singleEpithCellSize=Normal,blandChromatin=Normal,mitoses=Normal} => {class=Benigno}",0.404564315352697,0.979899497487437,0.412863070539419,1.95979899497487,195
